WSBrewVaporCondenserType,10012,ObjectType
WSBrewVaporCondenserType_Monitoring,50159,Object
WSBrewVaporCondenserType_Monitoring_Consumption,50160,Object
WSBrewVaporCondenserType_Monitoring_Consumption_Electricity,50161,Object
WSBrewVaporCondenserType_Monitoring_Consumption_Electricity_Main,50162,Object
WSBrewVaporCondenserType_Monitoring_Consumption_Steam,50163,Object
WSBrewVaporCondenserType_Monitoring_Consumption_Steam_Main,50164,Object
WSBrewVaporCondenserType_Monitoring_Process,50165,Object
WSBrewVaporCondenserType_Monitoring_Process_QuantityColdWater,50166,Object
WSBrewVaporCondenserType_Monitoring_Process_QuantityCondensate,50167,Object
WSBrewVaporCondenserType_Monitoring_Process_QuantityHotWater,50168,Object
WSBrewVaporCondenserType_Monitoring_Process_Revolutions,50169,Object
WSBrewVaporCondenserType_Monitoring_Process_Pressure,50170,Object
WSBrewVaporCondenserType_Monitoring_Process_TemperatureHotWater,50171,Object
WSBrewVaporCondenserType_Monitoring_Process_SteamTemperature,50172,Object
WSBrewVaporCondenserType_Monitoring_Process_PositionofSteamDamper,50173,Object
WSBrewVaporCondenserType_Monitoring_Process_PositionofSteamDamper_ProcessValueSetpoint,60020,Variable
WSBrewVaporCondenserType_Monitoring_Status,50174,Object
WSBrewVaporCondenserType_Monitoring_Status_OperatingMode,50175,Object
WSBrewVaporCondenserType_Monitoring_Status_PackMLBaseStateMachine,50176,Object
WSBrewVaporCondenserType_Monitoring_Status_PackMLBaseStateMachine_MachineState,50177,Object
WSBrewVaporCondenserType_Monitoring_Status_PackMLBaseStateMachine_MachineState_ExecuteState,50178,Object
WSBrewVaporCondenserType_Monitoring_Status_PackMLBaseStateMachine_MachineState_ExecuteState_RunningState,50179,Object
WSBrewVaporCondenserType_Notifications,50180,Object
WSBrewVaporCompressorType,10013,ObjectType
WSBrewVaporCompressorType_Monitoring,50181,Object
WSBrewVaporCompressorType_Monitoring_Consumption,50182,Object
WSBrewVaporCompressorType_Monitoring_Consumption_Electricity,50183,Object
WSBrewVaporCompressorType_Monitoring_Consumption_Electricity_Main,50184,Object
WSBrewVaporCompressorType_Monitoring_Consumption_Steam,50185,Object
WSBrewVaporCompressorType_Monitoring_Consumption_Steam_Main,50186,Object
WSBrewVaporCompressorType_Monitoring_Process,50187,Object
WSBrewVaporCompressorType_Monitoring_Process_QuantityColdWater,50188,Object
WSBrewVaporCompressorType_Monitoring_Process_QuantityCondensate,50189,Object
WSBrewVaporCompressorType_Monitoring_Process_QuantityHotWater,50190,Object
WSBrewVaporCompressorType_Monitoring_Process_Revolutions,50191,Object
WSBrewVaporCompressorType_Monitoring_Process_Pressure,50192,Object
WSBrewVaporCompressorType_Monitoring_Process_TemperatureHotWater,50193,Object
WSBrewVaporCompressorType_Monitoring_Process_SteamTemperature,50194,Object
WSBrewVaporCompressorType_Monitoring_Process_PositionofSteamDamper,50195,Object
WSBrewVaporCompressorType_Monitoring_Process_PositionofSteamDamper_ProcessValueSetpoint,60021,Variable
WSBrewVaporCompressorType_Monitoring_Status,50196,Object
WSBrewVaporCompressorType_Monitoring_Status_OperatingMode,50197,Object
WSBrewVaporCompressorType_Monitoring_Status_PackMLBaseStateMachine,50198,Object
WSBrewVaporCompressorType_Monitoring_Status_PackMLBaseStateMachine_MachineState,50199,Object
WSBrewVaporCompressorType_Monitoring_Status_PackMLBaseStateMachine_MachineState_ExecuteState,50200,Object
WSBrewVaporCompressorType_Monitoring_Status_PackMLBaseStateMachine_MachineState_ExecuteState_RunningState,50201,Object
WSBrewVaporCompressorType_Notifications,50202,Object
WSBrewEnergyStorageVesselType,10014,ObjectType
WSBrewEnergyStorageVesselType_Monitoring,50203,Object
WSBrewEnergyStorageVesselType_Monitoring_Process,50204,Object
WSBrewEnergyStorageVesselType_Monitoring_Process_QuantityHotWater,50205,Object
WSBrewEnergyStorageVesselType_Monitoring_Process_TemperatureTop,50206,Object
WSBrewEnergyStorageVesselType_Monitoring_Process_FillLevel,50207,Object
WSBrewEnergyStorageVesselType_Monitoring_Process_TemperatureBottom,50208,Object
WSBrewEnergyStorageVesselType_Monitoring_Status,50209,Object
WSBrewEnergyStorageVesselType_Monitoring_Status_OperatingMode,50210,Object
WSBrewEnergyStorageVesselType_Monitoring_Status_PackMLBaseStateMachine,50211,Object
WSBrewEnergyStorageVesselType_Monitoring_Status_PackMLBaseStateMachine_MachineState,50212,Object
WSBrewEnergyStorageVesselType_Monitoring_Status_PackMLBaseStateMachine_MachineState_ExecuteState,50213,Object
WSBrewEnergyStorageVesselType_Monitoring_Status_PackMLBaseStateMachine_MachineState_ExecuteState_RunningState,50214,Object
WSBrewEnergyStorageVesselType_Notifications,50215,Object
WSBrewWhirlpoolType,10015,ObjectType
WSBrewWhirlpoolType_Monitoring,50216,Object
